airport,year,X.month,carrier,arr_flights,arr_del15,carrier_ct,X.weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,X.arr_delay,X.carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Latitude,Longitude
ORD,2014,3,UA,4750,1032,293.57,23.15,425.62,0,289.66,94,3,62232,14715,2324,23539,0,21654,41.978603,-87.904842
ORD,2005,1,UA,8771,2608,420.37,52.18,1673.94,0,461.51,419,31,197239,30654,4189,123613,0,38783,41.978603,-87.904842
ORD,2007,1,YV,2464,921,182,19,365,3,352,135,6,79793,10293,1555,33947,133,33865,41.978603,-87.904842
ORD,2012,9,OO,2315,349,44.92,1.29,127.98,0.44,174.36,18,2,15441,2598,131,4306,8,8398,41.978603,-87.904842
ORD,2012,4,F9,2,1,0.21,0,0.79,0,0,0,0,29,6,0,23,0,0,41.978603,-87.904842
ORD,2009,9,XE,84,9,3.56,1,3.44,0,1,0,0,496,340,60,72,0,24,41.978603,-87.904842
ORD,2009,12,YV,2579,823,388,54,372.41,2,6.59,190,3,71616,29798,3934,37115,146,623,41.978603,-87.904842
ORD,2007,6,DL,327,112,26.17,2.75,61.44,0,21.63,4,3,7572,1619,193,4168,0,1592,41.978603,-87.904842
ORD,2015,3,AS,162,21,7.82,0,10.21,0,2.97,0,0,1157,350,0,702,0,105,41.978603,-87.904842
ORD,2012,12,MQ,6434,1483,265.04,63.89,415.85,0.77,737.45,183,3,121365,42635,4808,19361,26,54535,41.978603,-87.904842
ORD,2011,5,MQ,7393,2049,252.76,64.11,898.93,0.45,832.75,653,35,176975,35039,10240,74701,9,56986,41.978603,-87.904842
ORD,2014,5,VX,144,28,4.91,5.9,16.17,0,1.02,1,1,1499,314,372,774,0,39,41.978603,-87.904842
ORD,2015,11,F9,483,134,23.17,0,86.04,0,24.79,5,3,9911,1284,0,6153,0,2474,41.978603,-87.904842
ORD,2012,1,OO,2049,371,55.68,7.8,146.4,0.75,160.37,93,2,21413,3924,413,8222,12,8842,41.978603,-87.904842
ORD,2004,9,UA,9825,629,162.01,13.23,259.38,6.37,188.02,185,8,36079,10856,1041,10596,1161,12425,41.978603,-87.904842
ORD,2016,3,B6,178,41,13.99,0,17.53,0,9.47,2,1,2222,904,0,941,0,377,41.978603,-87.904842
ORD,2011,7,YV,912,197,16.84,4.25,44.52,0,131.39,29,5,13868,841,388,2091,0,10548,41.978603,-87.904842
ORD,2016,2,F9,376,56,13.91,1,33.09,0,8.01,3,1,6451,1053,477,3768,0,1153,41.978603,-87.904842
ORD,2013,6,AS,145,26,2.64,0.76,20.64,0,1.96,0,0,1035,120,16,856,0,43,41.978603,-87.904842
ORD,2011,8,UA,5326,915,205.87,27.07,319.11,0,362.96,178,12,60044,13861,2333,17825,0,26025,41.978603,-87.904842
ORD,2004,8,AS,93,26,9.99,0,11.47,0.4,4.14,0,1,1335,572,0,633,10,120,41.978603,-87.904842
